Organization Name,Street,City,State,Zip Code,Full Address,Latitude,Longitude,Region,Phone,Website,Agriculture,Food and Beverage,Services,Products,Healthcare,Open Entry,Loan Advice,Business Planning,Credit Health,Legal,Marketing,Finance,Operations,Leadership,Computer Skills,Bookkeeping and Accounting,Taxes,Social Media and Website,Communications,Sales,Coaching & Advising,Workshops / Training,Online Tools,English,Spanish,Mandarin,Vietnamese,Cost,Image URL
3CORE,"3120 Cohasset Road, Suite 1",Chico,CA,95973,"3120 Cohasset Road, Suite 1 Chico CA 95973 ",39.772444,-121.842815,Rural North,(530) 893-8732,www.3coreedc.org,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,Paid,http://northvalleyfoodhub.com/northvalleyfoodhub/uploads/partners/3CORE2.png
Academies for Social Entrepreneurship,"848 Amigos Way, Suite C",Newport Beach,CA,92660,"848 Amigos Way, Suite C Newport Beach CA 92660 ",33.630611,-117.877535,Los Angeles Basin Area,(949) 500-2381,www.academies-se.org,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,Traded,http://www.academies-se.org/uploads/1/6/4/0/16401384/1390673792.png
Accion San Diego,"404 Euclid Avenue, Suite 271",San Diego,CA,92114,"404 Euclid Avenue, Suite 271 San Diego CA 92114 ",32.7089861,-117.0877379,San Diego Area,(619) 795-7250,www.accionsandiego.org,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,Free,http://accionsandiego.org/images/ACCION_PRI_RGB_D.jpg
Agriculture & Land-Based Training Association (ALBA),P.O. Box 6264,Salinas,CA,93912,P.O. Box 6264 Salinas CA 93912 ,36.7,-121.67,Central Coast,(831) 758-1469,www.albafarmers.org,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,Traded,http://www.albafarmers.org/alba_color_for_web.jpg
AnewAmerica Community Corporation,"1918 University Avenue, Suite 3A",Berkeley,CA,94704,"1918 University Avenue, Suite 3A Berkeley CA 94704 ",37.8713036,-122.2724422,San Francisco Bay Area,(510) 540-7785,www.anewamerica.org,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,Traded,https://biz.prlog.org/anewamericacomcorp/logo.jpg
AnewAmerica Community Corporation - Oakland,"1470 Fruitvale Avenue, Suite 5",Oakland,CA,94601,"1470 Fruitvale Avenue, Suite 5 Oakland CA 94601 ",37.7784791,-122.2250837,San Francisco Bay Area,(510) 532-5240,www.anewamerica.org,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,Traded,https://biz.prlog.org/anewamericacomcorp/logo.jpg
AnewAmerica Community Corporation - San Jose,"210 North 4th Street, Suite 205",San Jose,CA,95112,"210 North 4th Street, Suite 205 San Jose CA 95112 ",37.3411251,-121.8895682,San Francisco Bay Area,(408) 326-2669,www.anewamerica.org,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,Paid,https://biz.prlog.org/anewamericacomcorp/logo.jpg
Apoyo Financiero,"3100 Oak Road, Suite 210",Walnut Creek,CA,94597,"3100 Oak Road, Suite 210 Walnut Creek CA 94597 ",37.9309108,-122.0583307,San Francisco Bay Area,(800) 891-2778,www.apoyo-financiero.com,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,Traded,http://images.locanto.com.ec/APOYO-FINANCIERO/vap_1330951881.jpg
Arcata Economic Development Corporation,707 K Street,Eureka,CA,95501,707 K Street Eureka CA 95501 ,40.8008371,-124.1598743,Rural North,(707) 822-4616,www.aedc1.org,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,Traded,http://files.ctctcdn.com/6229fd98001/1d13a84c-9ae2-402c-a4c8-1e66ad474f4d.jpg
Asian Business Association,"120 South San Pedro Street, Suite 523",Los Angeles,CA,90012,"120 South San Pedro Street, Suite 523 Los Angeles CA 90012 ",34.0494086,-118.2412516,Los Angeles Basin Area,(213) 628-1222,www.abala.org,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,Paid,https://media.licdn.com/media/p/2/000/1bd/321/38f6c34.png
